subawardee_uei,subawardee_name,entity_url,company_linkedin_url
GKV2GYCBZM35,"DEVELOPMENT DIMENSIONS INTERNATIONAL, INC.",http://www.ddiworld.com,https://linkedin.com/company/ddiworld
GKVLWXS78JA5,"APPLIED AUTOMATION TECHNOLOGIES, INC.",,
GKVMZBMK7YG9,"BASECONNECT, LLC",https://www.baseconnect.com,https://linkedin.com/company/baseconnectapp
GKVNM88N5B47,SERVICE RESOURCE GROUP INTERNATIONAL LLC,www.srg-int.com,
GKWTAHYKMC62,"ENDYNA, INC.",http://www.endyna.com,
GKWTCSJKQH85,PILLAR SYSTEMS CORPORATION,http://www.pillarsystems.com,https://linkedin.com/company/pillar-systems-corporation
GKZLEMB7K1D6,ELECTROIMPACT INC.,http://www.electroimpact.com,https://linkedin.com/company/electroimpact
GL1AUGN6T6U4,MOGADISHU SERVICE,,
GL33N7Y7WX98,FUJIFILM SONOSITE INC,http://www.sonosite.com,https://linkedin.com/company/sonosite
GL3DGRVJ3T93,NEWARK ELECTRONICS CORPORATION,http://www.newark.com,
GL44UBJEKJK1,"TRENTON SYSTEMS, INC.",http://www.TrentonSystems.com,
GL4LXD56NEK5,"DRS SIGNAL SOLUTIONS, INC.",,
GL52MNUHMZ23,"ROBICHAUX AUTOMATION AND CONTROL, INCORPORATED",http://www.tridentmaritimesystems.com/,
GL7BQUY8ZJ79,"AMENTUM TECHNOLOGY, INC.",,
GL7JKJ4MVVG9,"COOPER ZIETZ ENGINEERS, INC.",www.akana.us,https://linkedin.com/company/cooper-zietz-engineers-inc.
GL85ACATYXX5,"GICHNER SYSTEMS GROUP, INC.",http://www.kratosdefense.com,https://linkedin.com/company/kratos-defense-and-security-solutions
GL99SKNWU2H5,CRO LLC,cromedical.com,https://linkedin.com/company/cro-medical-technology
GLB2VR3JYXK8,"DALLAS AIRMOTIVE, INC.",www.standardaero.com,https://linkedin.com/company/standardaero
GLCKL5BNYGL2,DINUCCI CORPORATION,http://www.dinuccicorp.com,https://linkedin.com/company/dinucci-corp
GLD4H4A7MZ46,C5T CORPORATION,www.c5t.com,https://linkedin.com/company/c5t-corporation
GLFEQLHD85H3,"DO IT WITH HELP, LLC",,
