rank_by_dollar,naics_code,naics_title,psc_code,psc_name,total_usd,n_actions,median_usd,top_winner,top_winner_share,what_was_done,vertical,work_type,equipment_intensity,regime,confidence
1,621111,Offices of Physicians (except Mental Health Specialists),Q403,MEDICAL- EVALUATION/SCREENING,15283476019.81,131,69116123.05,"OPTUMSERVE HEALTH SERVICES, INC.",0.267,Physician practices performing fitness-for-duty medical exams/screening,Healthcare & Life Sciences,services_labor,low,redundant,high
2,325412,Pharmaceutical Preparation Manufacturing,6505,DRUGS AND BIOLOGICALS,13336511851.86,4867,107.06,"CARDINAL HEALTH, INC.",0.555,Pharmaceutical drugs supplied via dominant drug distributor,Healthcare & Life Sciences,distribute_resell,low,redundant,high
3,236220,Commercial and Institutional Building Construction,Y1PZ,CONSTRUCTION OF OTHER NON-BUILDING FACILITIES,9533210168.13,75,289238.0,US DIVERSIFIED CONTRACTING SERVICES INC.,0.133,New-build construction of non-building facilities,Construction,construct,high,naics_carries,medium
4,336414,Guided Missile and Space Vehicle Manufacturing,1410,GUIDED MISSILES,5607421512.77,25,605822.0,RAYTHEON COMPANY,0.84,Complete guided missile manufacturing by defense prime,Aerospace & Defense,manufacture,high,redundant,high
5,524114,Direct Health and Medical Insurance Carriers,Q201,MEDICAL- MANAGED HEALTHCARE,4796182492.32,64,42618.21,NAPHCARE LLC,0.344,Comprehensive managed healthcare contracts (TRICARE/VA-type),Healthcare & Life Sciences,services_labor,low,redundant,high
6,524114,Direct Health and Medical Insurance Carriers,G007,SOCIAL- GOVERNMENT HEALTH INSURANCE PROGRAMS,4096834179.55,124,49478.71,PAN AMERICAN LIFE DE COLOMBIA COMPANIA DE SEGUROS S A,0.097,Government health insurance program administration,Financial & Insurance,services_labor,low,redundant,high
7,541512,Computer Systems Design Services,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),3634170810.6,882,1051929.17,ACCENTURE FEDERAL SERVICES LLC,0.137,Custom business application development/dev labor,Information Technology & Software,services_labor,low,redundant,high
8,236220,Commercial and Institutional Building Construction,Y1LB,"CONSTRUCTION OF HIGHWAYS, ROADS, STREETS, BRIDGES, AND RAILWAYS",3358125444.03,15,1133123.48,"CER, INCORPORATED",0.133,Highway/road/bridge construction by building contractor,Construction,construct,high,psc_carries,high
9,561210,Facilities Support Services,M1JZ,OPERATION OF MISCELLANEOUS BUILDINGS,3183204451.5,121,274761.28,"ENVIREMEDIAL SERVICES, INC.",0.322,Facilities support staff operating miscellaneous buildings,"Facilities, Maintenance & Janitorial",services_labor,low,emergent,medium
10,541330,Engineering Services,R499,SUPPORT- PROFESSIONAL: OTHER,3093132752.21,566,582974.41,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,0.065,Engineering firms supplying other professional support services,Engineering & Architecture,services_labor,low,naics_carries,medium
11,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,2578186010.82,323,731253.6,INTUITIVE RESEARCH AND TECHNOLOGY CORPORATION,0.207,R&D firms providing systems engineering/technical support,Engineering & Architecture,services_labor,low,naics_carries,medium
12,561612,Security Guards and Patrol Services,S206,HOUSEKEEPING- GUARD,2493729156.27,1861,141151.82,DOMESTIC AWARDEES (UNDISCLOSED),0.225,Contract security guard and patrol services,Security & Guard Services,services_labor,low,redundant,high
13,541330,Engineering Services,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,2189137797.58,1522,360563.32,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,0.054,Engineering firms providing systems engineering/technical support,Engineering & Architecture,services_labor,low,redundant,high
