query,Aerospace contracts up for recompete
filter,vertical = 'Aerospace & Defense' AND days_until_expiry <= 180
as_of,2026-06-26
recompete_window,2026-06-26 .. 2026-12-23
num_companies,398
federal_awards_amount_aggregate_usd,36855377544.62
num_awards,1516

rank,company,uei,federal_award_amount_usd,awards
1,THE BOEING COMPANY,HLWWEH2CCXW5,22441213872.30,1
2,HUNTINGTON INGALLS INC,WMXDDH6HJNA5,3886287760.00,1
3,THE BOEING COMPANY,JJM4FRDZJDX1,2448597680.44,1
4,LOCKHEED MARTIN CORPORATION,KMEVRAKJVBD3,1068279533.31,1
5,RAYTHEON COMPANY,VTEWM5QSE598,1028577860.37,1
6,"AMENTUM SERVICES, INC.",QEMLRQA7PLG4,847992594.28,4
7,THE BOEING COMPANY,UEGFHX6R6KJ1,657673049.05,4
8,"GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.",ZH4NVFG3Z526,555221928.52,1
9,DAEDALUS AVIATION CORPORATION,KE7ZAT98UBM7,463638746.00,1
10,METRO MACHINE CORP.,J1FCJLK5LGU5,407401321.00,1
